,0
0,0.05464823026643323
1,0.053919606932100794
2,0.05336072092293215
3,0.0529473149948303
4,0.05265699239629035
5,0.05247107363254977
6,0.05237380603586944
7,0.052352725424414714
8,0.052397988711125054
9,0.05250164312906852
10,0.052657272029445534
11,0.052859577296076765
12,0.05310383499286159
13,0.053386260751100645
14,0.053703208154450954
15,0.05405117246736829
16,0.05442693977278967
17,0.0548273185243045
18,0.055226352065801676
19,0.05566600710153585
20,0.05612067133188253
21,0.05658730491995806
22,0.057062882930040415
23,0.05754481256008148
24,0.05803010240197176
25,0.05851622298359871
26,0.05900039151310921
27,0.05948018655180931
28,0.059953249990940094
29,0.06041747704148298
30,0.06087061017751694
31,0.06131085380911827
32,0.06173636391758919
33,0.06214575096964842
34,0.06253758072853088
35,0.06291066855192184
36,0.06326406449079508
37,0.06359684467315674
38,0.06390854716300964
39,0.06419858336448664
40,0.06446677446365362
41,0.06471290439367289
42,0.0649371594190597
43,0.06513950973749161
44,0.06532042473554606
45,0.06548017263412476
46,0.06561945378780365
47,0.06573881208896637
48,0.06583883613348013
49,0.06592047959566122
