,0
0,0.04754452407360077
1,0.04750768840312947
2,0.04744351655244827
3,0.04735625907778729
4,0.0472504086792469
5,0.04713013023138046
6,0.04699859768152226
7,0.046858273446559906
8,0.04671085625886917
9,0.04655740410089493
10,0.04639868810772896
11,0.046235304325819016
12,0.046067845076322556
13,0.04589695483446121
14,0.04572339355945587
15,0.04554821178317059
16,0.045372530817985424
17,0.045197680592536926
18,0.04502503201365482
19,0.044856101274490356
20,0.044692207127809525
21,0.04453473910689354
22,0.04438473656773567
23,0.04424342140555382
24,0.044111549854278564
25,0.04398956149816502
26,0.04387776181101799
27,0.04377645254135132
28,0.04368525743484497
29,0.04360394924879074
30,0.043531984090805054
31,0.04346883296966553
32,0.04341362416744232
33,0.04336558282375336
34,0.043323859572410583
35,0.04328761622309685
36,0.04325595498085022
37,0.043228231370448955
38,0.043203577399253845
39,0.0431814081966877
40,0.0431610569357872
41,0.04314226284623146
42,0.043124422430992126
43,0.04310736805200577
44,0.04309089481830597
45,0.04307474195957184
46,0.04305889084935188
47,0.04304332286119461
48,0.0430280603468417
49,0.043013185262680054
